strike	2021-09-02	2021-09-03	2021-09-07	2021-09-08	2021-09-09	2021-09-10	2021-09-13	2021-09-14	2021-09-15	2021-09-16
15820	284.38	236.99	215.57	243.15	288.92	391.01	386.71	438.76	318.23	304.31
15825	287.75	240.22	218.69	246.90	292.91	395.62	391.48	443.70	323.20	309.29
15830	291.13	243.44	221.84	250.65	297.10	400.23	396.36	448.66	328.17	314.27
15840	298.37	249.97	228.13	258.25	305.49	409.46	406.12	458.57	338.10	324.24
15850	305.17	256.72	234.72	266.00	313.89	418.80	415.88	468.48	348.05	334.21
15860	312.34	263.57	241.42	273.90	322.32	428.15	425.64	478.39	357.99	344.17
15870	319.61	270.57	248.27	281.90	331.08	437.65	435.41	488.33	367.94	354.15
15875	323.25	274.07	251.77	286.00	335.47	442.40	440.29	493.29	372.92	359.14
15880	327.02	277.67	255.27	290.10	339.85	447.18	445.17	498.26	377.89	364.13
15890	334.62	284.87	262.37	298.30	348.62	456.76	454.93	508.18	387.84	374.12
15900	342.27	292.27	269.62	306.70	357.43	466.33	464.73	518.11	397.80	384.11
15910	350.07	299.77	277.12	315.19	366.64	475.91	474.57	528.04	407.75	394.10
15920	357.92	307.37	284.62	323.80	375.87	485.49	484.41	537.97	417.70	404.10
15925	361.92	311.27	288.43	328.13	380.48	490.35	489.32	542.93	422.67	409.09
15930	365.92	315.17	292.31	332.45	385.09	495.21	494.25	547.91	427.65	414.10
15940	373.97	323.02	300.07	341.24	394.32	504.93	504.11	557.83	437.60	424.09
15950	382.20	331.02	308.08	350.14	403.59	514.66	513.97	567.78	447.56	434.09
15960	390.42	339.11	316.30	359.09	412.86	524.39	523.84	577.71	457.52	444.09
15970	398.79	347.31	324.52	368.11	422.38	534.11	533.72	587.66	467.47	454.09
15975	402.98	351.48	328.63	372.66	427.15	538.99	538.65	592.62	472.45	459.09
15980	407.26	355.69	332.77	377.21	431.92	543.87	543.59	597.60	477.43	464.08
15990	415.81	364.12	341.17	386.39	441.46	553.64	553.46	607.55	487.39	474.08
16000	424.46	372.61	349.57	395.59	451.00	563.40	563.34	617.43	497.35	484.08
16010	433.11	381.21	358.17	404.84	460.55	573.16	573.28	627.44	507.31	494.08
16020	441.92	389.93	366.84	414.22	470.09	582.93	583.23	637.39	517.28	504.08
16025	446.34	394.33	371.19	418.92	474.85	587.81	588.20	642.37	522.27	509.08
16030	450.77	398.73	375.53	423.62	479.68	592.69	593.17	647.34	527.26	514.08
16040	459.36	407.56	384.37	433.02	489.33	602.46	603.12	657.29	537.23	524.08
16050	468.67	416.51	393.27	442.42	498.98	612.24	613.07	667.26	547.21	534.08
16060	477.74	425.52	402.22	451.97	508.63	622.03	623.01	677.22	557.18	544.08
16070	486.82	434.59	411.28	461.51	518.29	631.82	632.96	687.19	567.16	554.08
16075	491.41	439.13	415.80	466.29	523.15	636.71	637.93	692.17	572.15	559.08
16080	496.01	443.71	420.33	471.06	528.01	641.60	642.91	697.15	577.13	564.08
16090	505.21	452.87	429.52	480.61	537.73	651.40	652.89	707.12	587.11	574.08
16100	514.46	462.51	438.72	490.16	547.45	661.19	662.87	717.09	597.08	584.08
16110	523.76	471.43	447.97	499.77	557.17	671.04	672.84	727.06	607.06	594.08
16120	533.06	480.76	457.27	509.38	566.89	680.91	682.82	737.03	617.04	604.08
16125	537.76	485.42	461.94	514.20	571.75	685.84	687.81	742.01	622.02	609.08
16130	542.47	490.08	466.62	519.03	576.61	690.78	692.80	746.99	627.01	614.08
16140	551.89	499.46	476.02	528.69	586.35	700.64	702.78	756.97	636.98	624.08
16150	561.32	508.91	485.50	538.39	596.09	710.53	712.75	766.95	646.96	634.08
16160	570.81	518.41	494.97	548.14	605.87	720.41	722.73	776.92	656.94	644.08
16170	580.32	527.97	504.47	557.88	615.65	730.33	732.71	786.90	666.91	654.08
16175	585.09	532.74	509.23	562.75	620.54	735.28	737.70	791.89	671.91	659.08
16180	589.86	537.52	513.98	567.63	625.43	740.24	742.68	796.89	676.90	664.08
16190	599.46	547.12	523.56	577.39	635.22	750.16	752.66	806.87	686.88	674.08
16200	609.06	556.74	533.16	587.14	645.01	760.07	762.64	816.85	696.87	684.08
16210	618.66	566.37	542.81	596.94	654.91	769.99	772.61	826.83	706.86	694.08
16220	628.27	576.02	552.47	606.74	664.81	779.90	782.59	836.81	716.85	704.08
16225	633.11	580.87	557.29	611.64	669.92	784.86	787.58	841.81	721.84	709.08
16230	637.94	585.72	562.12	616.55	674.71	789.82	792.57	846.80	726.84	714.08
16240	647.61	595.43	571.81	626.38	684.62	799.73	802.55	856.78	736.82	724.08
16250	657.30	605.17	581.51	636.22	694.52	809.65	812.52	866.76	746.81	734.08
16260	667.01	614.91	591.26	646.06	704.42	819.62	822.50	876.75	756.80	744.08
16270	676.75	624.66	601.00	655.90	714.33	829.59	832.48	886.73	766.79	754.08
16275	681.62	629.55	605.87	660.82	719.28	834.57	837.47	891.72	771.78	759.08
