2021-09-02	2021-09-03	2021-09-07	2021-09-08	2021-09-09	2021-09-10	2021-09-13	2021-09-14	2021-09-15	2021-09-16
0.999967	0.999967	0.999979	0.999983	0.999986	0.999984	0.999992	0.999995	0.999996	0.999998
15600.62	15651.48	15674.28	15618.30	15558.07	15441.58	15438.08	15383.56	15503.40	15515.92
